"Timestamp","Mode","Name","Group","Kind","SourcePath","DestinationPath","Status","Message","ExcludedPaths","Notes","Command"
"2026-03-09T20:30:17","execute","Davydov Phantom","education","directory","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\davydov_phantom","copied","","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom\__pycache__; F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom\.pytest_cache","Основной код проекта Фантом Давыдова.","robocopy F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\davydov_phantom /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom\__pycache__ F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom\.pytest_cache"
"2026-03-09T20:31:06","execute","Grant Presentation","education","directory","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\grant_presentation","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\grant_presentation","copied","","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\grant_presentation\.git","Грантовая презентация и связанные материалы.","robocopy F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\grant_presentation D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\grant_presentation /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\grant_presentation\.git"
"2026-03-09T20:31:08","execute","Gymnasium Landing","education","directory","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\gymnasium_landing","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\gymnasium_landing","copied","","","Лендинг гимназии.","robocopy F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\gymnasium_landing D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\gymnasium_landing /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP"
"2026-03-09T20:31:08","execute","Interactive Panels Rating","products","directory","F:\ДИМА\ПРОЕКТЫ\интерактивные доски\interactive-panels-rating","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\interactive_panels_rating","copied","","F:\ДИМА\ПРОЕКТЫ\интерактивные доски\interactive-panels-rating\node_modules","Сайт/рейтинг интерактивных панелей.","robocopy F:\ДИМА\ПРОЕКТЫ\интерактивные доски\interactive-panels-rating D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\interactive_panels_rating /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\интерактивные доски\interactive-panels-rating\node_modules"
"2026-03-09T20:31:08","execute","AppScout","products","directory","F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\appscout","copied","","F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout\.git; F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout\node_modules","Поиск open-source приложений по идее.","robocopy F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\appscout /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout\.git F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout\node_modules"
"2026-03-09T20:31:08","execute","TGAggregator","agents","directory","F:\ДИМА\ПРОЕКТЫ\Приложения\TGAggregator","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\tg_aggregator","copied","","F:\ДИМА\ПРОЕКТЫ\Приложения\TGAggregator\node_modules","Телеграм-агрегатор новостей.","robocopy F:\ДИМА\ПРОЕКТЫ\Приложения\TGAggregator D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\tg_aggregator /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\Приложения\TGAggregator\node_modules"
"2026-03-09T20:31:09","execute","SmartMeeting Backend","products","directory","F:\ДИМА\ПРОЕКТЫ\Умное совещание\backend","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\backend","copied","","F:\ДИМА\ПРОЕКТЫ\Умное совещание\backend\__pycache__","Backend проекта Умное совещание.","robocopy F:\ДИМА\ПРОЕКТЫ\Умное совещание\backend D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\backend /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP /XD F:\ДИМА\ПРОЕКТЫ\Умное совещание\backend\__pycache__"
"2026-03-09T20:31:09","execute","SmartMeeting Web","products","directory","F:\ДИМА\ПРОЕКТЫ\Умное совещание\web","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\web","copied","","","Frontend/PWA проекта Умное совещание.","robocopy F:\ДИМА\ПРОЕКТЫ\Умное совещание\web D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\web /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP"
"2026-03-09T20:34:39","execute","AI Agent Core Workspace","agents","directory","F:\ДИМА\ПРОЕКТЫ\ИИ агент на компьютер","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\ai_agent_core","copied","","","Основной рабочий каталог агента и workflows.","robocopy F:\ДИМА\ПРОЕКТЫ\ИИ агент на компьютер D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\ai_agent_core /E /R:1 /W:1 /COPY:DAT /DCOPY:DAT /XJ /NFL /NDL /NP"
"2026-03-09T20:34:39","execute","Agent Second Brain","agents","directory","F:\ДИМА\ПРОЕКТЫ\agent-second-brain","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\agent_second_brain","missing_source","Source path does not exist.","","Локальная ветка/эксперимент agent-second-brain.",""
